name	2007-12	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-10	2008-11	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-07	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06
Campisi	0	0	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0	0.333333333	0.666666667	0.666666667	0.333333333	0.333333333	0.333333333	0.333333333	0	0	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0
Casa	0	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0
Nobili	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0.333333333	0.666666667	0.666666667	0.333333333	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0	0
Other	0	4.333333333	7.333333333	6.666666667	4.666666667	2.333333333	1.333333333	2.333333333	1.666666667	2.333333333	1.333333333	2	2.333333333	2.666666667	2	1.333333333	1	1.333333333	1.666666667	1.666666667	2.333333333	2	2	1.666666667	1.666666667	2	1	1	0.333333333	2.333333333	3.333333333	3.333333333	2.666666667	2	3.333333333	3.333333333	5	4	3	2	2.333333333	5	5.333333333	6	3.333333333	2	2	2	3	2	0
Sobrato	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0	0	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.666666667	0.666666667	0.666666667	0.333333333	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0.666666667	0.666666667	0.666666667	0	1.333333333	1.666666667	1.666666667	0.333333333	0.333333333	0
Swig	0	0.333333333	0.333333333	0.666666667	0.666666667	0.333333333	0	0	0	0	0.333333333	1	1.333333333	1	0.333333333	0	0	0	0	0	0	0	0.666666667	1	1	0.333333333	0	0	0.333333333	0.333333333	0.666666667	1	1	0.666666667	0	0	1.333333333	1.333333333	1.333333333	0	0	0	0	0.333333333	0.666666667	1	1	1	0.666666667	0.333333333	0
Villas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.333333333	1.333333333	1.333333333	0.333333333	0.333333333	0.333333333	0	2.333333333	2.333333333	0
Walsh	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	1	1.333333333	1.333333333	0.333333333	0	0	0	0
